iduser ,location,rank ,average_rating
89584,\N,\N,4
89586,\N,\N,4
89588,\N,\N,5
89589,\N,\N,5
89591,\N,\N,1
89592,\N,\N,\N
89593,\N,\N,\N
89594,\N,\N,5
89597,\N,\N,5
89599,"Tucson, Arizona",\N,\N
89603,\N,\N,4
89605,\N,\N,4
89608,\N,\N,5
89611,\N,\N,4
89620,\N,\N,5
89626,\N,\N,4
89628,\N,\N,5
89629,\N,\N,1
89633,\N,\N,1
89634,"San Jose, CA",\N,4.1667
89636,\N,\N,5
89637,\N,\N,1
89640,\N,\N,5
89641,\N,\N,4
89643,\N,\N,4
89649,shanghai china,\N,\N
89653,\N,\N,1
89655,\N,\N,3.5
89657,\N,\N,4
89662,\N,\N,4.5
89663,\N,\N,4
89665,\N,\N,5
89682,\N,\N,5
89684,\N,\N,5
89687,\N,\N,5
89689,\N,\N,3
89694,\N,\N,3
89698,\N,\N,5
89701,\N,\N,1
89706,\N,\N,2
89707,\N,\N,5
89708,\N,\N,2
89714,\N,\N,2
89719,\N,\N,\N
89724,"Anchorage, Alaska",\N,\N
89732,"Fairfax, VA",\N,3.5
89745,\N,\N,1
89746,\N,\N,5
89759,\N,\N,1
89764,\N,\N,5
89767,\N,\N,2.5
89771,\N,\N,4
89772,"Albuquerque, NM",\N,4
89773,\N,\N,5
89779,\N,\N,1
89780,\N,\N,5
89782,\N,\N,4
89786,\N,\N,5
89787,\N,\N,1
89791,\N,\N,4
89792,\N,\N,1
89794,\N,\N,1
89795,\N,\N,5
89796,\N,\N,1
89797,\N,\N,2.5
89805,\N,\N,4.3333
89806,\N,\N,5
89814,\N,\N,1
89816,\N,\N,3
89817,\N,\N,5
89823,"Vancouver,OR",\N,4.5
89827,\N,\N,1
89829,\N,\N,1
89833,\N,\N,2
89838,\N,\N,\N
89841,"Clackamas, OR",\N,3.4694
89844,\N,\N,5
89849,\N,\N,5
89851,\N,\N,5
89855,\N,\N,3
89864,\N,\N,2
89866,\N,\N,5
89868,\N,\N,1
89869,\N,\N,1
89870,\N,\N,2
89885,"Fremont, CA",\N,4.5
89889,\N,\N,5
89894,\N,\N,1
89895,"Yorba Linda, CA",\N,3.3125
89896,\N,\N,\N
89898,\N,\N,4
89900,\N,\N,1
89901,"Audubon, PA",\N,4.3333
89906,\N,\N,4
89910,\N,\N,5
89912,"Bay Area, CA",\N,4.8333
89915,NC,\N,4.3636
89918,\N,\N,\N
89919,"Los Angeles, California",\N,4.25
89922,\N,\N,4
89923,\N,\N,5
89924,\N,\N,4
89925,\N,\N,3
89928,\N,\N,1
89929,\N,\N,5
89930,\N,\N,5
89931,\N,\N,5
89937,\N,\N,3
89940,\N,\N,5
89945,Singapore,\N,3.75
89950,Florida,\N,3.5
89954,\N,\N,1
89955,NC,\N,4
89956,\N,\N,5
89958,\N,\N,5
89961,"Chicago, IL",\N,4
89962,\N,\N,5
89963,Edmonton Alberta,\N,4.4
89967,\N,\N,5
89974,\N,\N,2
89978,ny,\N,\N
89979,\N,\N,5
89987,\N,\N,2
89988,\N,\N,4.625
89990,\N,\N,5
89995,\N,\N,5
89998,Hughson California,\N,5
90000,\N,\N,3.5
90002,\N,\N,5
90011,\N,\N,5
90015,\N,\N,5
90016,Sydney,\N,4.4
90019,\N,\N,4.1667
90023,Singapore,\N,4.5
90025,\N,\N,2
90026,\N,\N,5
90030,\N,\N,1
90032," Palm Beach, FL",\N,3
90034,Arlington VA/Silver Spring MD,\N,1
90040,\N,\N,5
90050,\N,\N,1
90053,\N,\N,4.4375
90063,\N,\N,4
90065,\N,\N,3.6667
90067,\N,\N,3
90077,\N,\N,5
90079,\N,\N,2
90080,\N,\N,5
90082,\N,\N,5
90098,\N,\N,4
90101,\N,\N,5
90104,Camp David,\N,3.9412
90106,\N,\N,4
90108,"seminole, florida",\N,3
90109,\N,\N,5
90111,\N,\N,3.8519
90114,Nashville TN,\N,4
90117,\N,\N,\N
90118,\N,\N,3
90122,\N,\N,5
90129,\N,\N,1
90132,\N,\N,4.5
90134,\N,\N,4
90135,\N,\N,3
90136,\N,\N,5
90140,\N,\N,1
90141,\N,\N,2
90143,\N,\N,4.8333
90144,"TN, US",\N,3
90145,\N,\N,\N
90147,\N,\N,4
90148,\N,\N,\N
90149,\N,\N,1
90152,\N,\N,1
90157,\N,\N,5
90161,"Staten Island , New York",\N,4
90164,"Timmins, Ontario, Canada",\N,5
90165,\N,\N,4
90166,\N,\N,3
90181,\N,\N,1
90187,\N,\N,5
90189,\N,\N,5
90195,\N,\N,1
90210,\N,\N,4
90216,\N,\N,1
90217,\N,\N,2
90228,Florida,\N,4
90238,\N,\N,4
90244,\N,\N,\N
90256,\N,\N,3.5
90263,\N,\N,4
90265,"Los Angeles, Cali",\N,4.4
90267,\N,\N,4
90271,\N,\N,2
90273,\N,\N,5
90278,\N,\N,1
90279,\N,\N,5
90281,\N,\N,3
90288,Beverly Ma,\N,5
90291,\N,\N,4.1667
90292,\N,\N,2
90296,\N,\N,5
90300,\N,\N,5
90306,"Buffalo, New York",\N,\N
90309,\N,\N,5
90315,\N,\N,2
90319,\N,\N,5
90322,\N,\N,\N
90325,\N,\N,3
90330,\N,\N,5
90332,\N,\N,5
90334,\N,\N,3
90337,\N,\N,4
90338,\N,\N,3
90340,\N,\N,\N
90346,\N,\N,5
90351,\N,\N,5
90353,\N,\N,4
90364,\N,\N,5
90369,Alberta,\N,1
90373,\N,\N,5
90374,\N,\N,5
90377,\N,\N,4.5
90379,\N,\N,4.5
90380,\N,\N,2
90384,\N,\N,5
90388,\N,\N,5
90398,\N,\N,1
90399,\N,\N,3.6667
90403,\N,\N,4
90407,\N,\N,5
90410,\N,\N,5
90411,\N,\N,5
90413,\N,\N,4.3333
90414,\N,\N,3.1
90415,\N,\N,4
90431,\N,\N,1
90443,\N,\N,4
90444,\N,\N,5
90449,\N,\N,5
90460,\N,\N,4
90468,\N,\N,5
90469,"Kind of, sort of Seattle , Washington",\N,4.1111
90470,\N,\N,5
90471,\N,\N,1
90476,\N,\N,5
90481,\N,\N,4.3333
90485,Peking,\N,5
90486,\N,\N,1
90498,\N,\N,5
90500,\N,\N,5
90502,\N,\N,4
90505,\N,\N,2
90506,\N,\N,5
90510,\N,\N,\N
90521,\N,\N,3.8
90524,\N,\N,\N
90527,D.C.,\N,5
90538,\N,\N,2
90552,\N,\N,4
90559,\N,\N,4.5
90562,\N,\N,5
90568,\N,\N,2
90569,\N,\N,5
90570,\N,\N,4
90572,\N,\N,1
90573,\N,\N,3
90579,\N,\N,5
90580,\N,\N,1
90584,\N,\N,2
90589,\N,\N,5
90593,\N,\N,4
90595,\N,\N,1.5
90596,\N,\N,3
90599,\N,\N,5
90602,\N,\N,\N
90606,\N,\N,5
90608,\N,\N,5
90610,\N,\N,2.5
90614,\N,\N,1
90618,\N,\N,5
90619,\N,\N,3.5
90621,\N,\N,5
90623,\N,\N,4
90625,\N,\N,4.5
90627,\N,\N,4.4667
90628,\N,\N,5
90630,\N,\N,4
90631,\N,\N,5
90634,\N,\N,5
90635,\N,\N,5
90639,\N,\N,5
90641,\N,\N,5
90642,\N,\N,5
90643,\N,\N,4
90649,\N,\N,3.25
90651,\N,\N,5
90666,\N,\N,3
90667,\N,\N,1
90671,\N,\N,1
90676,\N,\N,1
90677,"ELLINGTON, CT USA",\N,5
90681,\N,\N,1
90682,\N,\N,5
90685,\N,\N,5
90686,\N,\N,3
90691,brooklyn ny,\N,4.9375
90693,\N,\N,5
90698,\N,\N,\N
90700,\N,\N,1
90704,\N,\N,1
90705,\N,\N,1
90707,\N,\N,1
90708,\N,\N,4.1304
90711,\N,\N,1
90717,\N,\N,4
90719,\N,\N,2
90721,\N,\N,4.4
90729,United States,\N,5
90730,\N,\N,1
90732,\N,\N,1
90735,\N,\N,5
90736,\N,\N,5
90740,\N,\N,4.5
90743,\N,\N,5
90746,\N,\N,3
90749,\N,\N,1
90751,\N,\N,3
90755,\N,\N,2
90756,\N,\N,4.6667
90757,\N,\N,5
90759,\N,\N,\N
90761,\N,\N,2
90762,\N,\N,5
90765,\N,\N,1
90768,\N,\N,5
90770,\N,\N,5
90771,\N,\N,3
90772,\N,\N,5
90776,\N,\N,1
90777,\N,\N,1
90780,\N,\N,1
90783,\N,\N,5
90784,\N,\N,5
90785,\N,\N,2.5
90786,\N,\N,2
90792,\N,\N,1
90793,\N,\N,5
90794,\N,\N,4
90801,\N,\N,5
90806,\N,\N,1
90809,\N,\N,5
90827,"Dallas/Ft. Worth, TX USA ",\N,4.4
90834,\N,\N,3
90835,\N,\N,2
90837,\N,\N,1
90840,"Cypress, TX, U.S.A",\N,4.1818
90843,\N,\N,5
90844,\N,\N,5
90845,\N,\N,1
90848,\N,\N,1.3333
90852,\N,\N,5
90853,Medfield Massachusetts,\N,4
90855,\N,\N,5
90860,\N,\N,5
90862,\N,\N,4.5
90867,\N,\N,3
90871,\N,\N,\N
90872,\N,\N,1
90875,Salem Ohio,\N,5
90881,"Cleveland, OH",\N,5
90884,\N,\N,5
90887,"Houston, TX",\N,4
90889,\N,\N,4.6667
90894,\N,\N,4
90898,\N,\N,5
90902,Texas,\N,4.6667
90903,\N,\N,5
90904,\N,\N,1
90905,\N,\N,3.3333
90907,\N,\N,1
90909,\N,\N,4
90913,\N,\N,4.5
90923,\N,\N,1
90925,\N,\N,5
90926,\N,\N,3
90930,\N,\N,4
90932,\N,\N,5
90934,\N,\N,4.2
90935,\N,\N,2
90936,South Jersey,\N,4.4375
90941,\N,\N,5
90944,\N,\N,\N
90950,\N,\N,1
90959,\N,\N,1
90960,\N,\N,4.4
90962,\N,\N,5
90965,\N,\N,\N
90968,\N,\N,5
90970,\N,\N,4
90975,"Bedford , NH",\N,\N
90976,\N,\N,5
90977,\N,\N,5
90979,\N,\N,1
90980,\N,\N,4.2
90981,\N,\N,1
90984,\N,\N,4
90985,\N,\N,4
90987,\N,\N,5
90989,\N,\N,5
90993,\N,\N,1
90995,"St. Louis, MO",\N,4
90996,\N,\N,5
90999,\N,\N,1
91002,\N,\N,3
91004,\N,\N,4
91011,\N,\N,5
91012,\N,\N,2.5
91013,\N,\N,1
91015,\N,\N,5
91018,\N,\N,1
91021,\N,\N,2
91026,Pennsylvania,\N,1
91027,\N,\N,5
91028,\N,\N,5
91030,\N,\N,5
91031,\N,\N,3
91038,\N,\N,4
91044,\N,\N,3.8947
91051,\N,\N,1
91052,\N,\N,3
91053,\N,\N,4
91055,\N,\N,5
91062,\N,\N,5
91069,\N,\N,5
91071,\N,\N,4
91072,\N,\N,1
91074,\N,\N,1
91078,\N,\N,1
91080,MN,\N,3.5
91094,"Lehi, UT",\N,4.4815
91100,\N,\N,\N
91101,\N,\N,4
91102,\N,\N,5
91103,\N,\N,4
91104,\N,\N,5
91110,\N,\N,4
91114,\N,\N,5
91115,\N,\N,3.2727
91117,\N,\N,2
91124,\N,\N,5
91128,\N,\N,5
91130,\N,\N,1
91133,\N,\N,4
91135,\N,\N,2.6667
91141,"Cambridge, MA USa",\N,4
91145,\N,\N,5
91147,\N,\N,2.5
91150,\N,\N,3
91153,\N,\N,5
91157,\N,\N,3
91158,"Lubbock, TX",\N,3.8
91160,\N,\N,\N
91161,\N,\N,1
91169,\N,\N,1
91172,\N,\N,5
91175,\N,\N,3
91177,\N,\N,1
91179,\N,\N,5
91185,\N,\N,5
91186,\N,\N,4.7143
91195,\N,\N,4
91202,\N,\N,5
91206,\N,\N,4
91207,\N,\N,3
91215,\N,\N,5
91218,"Austin, Texas",\N,4.25
91223,"Bloomington, Illinois",\N,4.5
91224,\N,\N,3
91230,\N,\N,5
91231,\N,\N,4
91232,\N,\N,4.5
91233,\N,\N,5
91241,New Yok,\N,3.5
91243,\N,\N,2
91244,\N,\N,3.9375
91245,\N,\N,3.4
91246,\N,\N,5
91248,\N,\N,5
91249,\N,\N,5
91261,\N,\N,4.8
91262,\N,\N,5
91267,\N,\N,3.7143
91269,\N,\N,5
91279,\N,\N,5
91290,"ND, USA",\N,1
91291,\N,\N,4
91293,\N,\N,5
91294,\N,\N,1
91296,\N,\N,4.2
91297,\N,\N,1
91300,"poughkeepsie, NY",\N,4
91304,\N,\N,5
91305,"Calgary, AB, Canada",\N,4
91321,\N,\N,4
91327,\N,\N,2
91329,\N,\N,3.6667
91332,Youngstown Ohio,\N,4.6667
91336,\N,\N,5
91359,\N,\N,\N
91360,\N,\N,4
91363,\N,\N,5
91365,\N,\N,\N
91370,\N,\N,5
91376,\N,\N,2
91382,\N,\N,\N
91383,\N,\N,3
91395,\N,\N,3
91402,\N,\N,3.3571
91403,\N,\N,\N
91413,\N,\N,1
91414,\N,\N,1
91418,\N,\N,1
91423,\N,\N,4.6364
91432,concord CA,\N,4.8889
91435,\N,\N,\N
91441,\N,\N,5
91442,\N,\N,3
91448,\N,\N,5
91454,\N,\N,5
91456,Little Rock,\N,\N
91473,\N,\N,\N
91474,\N,\N,2
91475,\N,\N,3.6667
91484,\N,\N,4
91489,\N,\N,3
91495,\N,\N,4
91510,\N,\N,4.375
91518,\N,\N,4.25
91527,\N,\N,5
91529,\N,\N,\N
91532,\N,\N,\N
91535,\N,\N,5
91541,\N,\N,4.24
91543,\N,\N,\N
91548,\N,\N,5
91550,\N,\N,3.2
91553,\N,\N,3.6
91559,\N,\N,4
91560,\N,\N,3.4
91562,\N,\N,\N
91566,\N,\N,5
91568,"Amsterdam, NL",\N,4.75
91572,"Denver, CO, USA",\N,4.1667
91576,\N,\N,\N
91578,\N,\N,\N
91580,\N,\N,5
91594,\N,\N,5
91599,"Colorado Springs, CO, USA",\N,3.1667
91601,\N,\N,5
91602,\N,\N,4.6667
91605,\N,\N,3.6667
91608,\N,\N,3
91613,\N,\N,1
91623,\N,\N,4
91626,\N,\N,5
91632,\N,\N,2
91636,\N,\N,5
91641,\N,\N,1
91647,\N,\N,4
91665,\N,\N,\N
91679,\N,\N,5
91683,\N,\N,3.5
91689,\N,\N,4.3333
91693,\N,\N,\N
91699,"Massachusetts, USA",\N,2.9545
91704,\N,\N,5
91712,\N,\N,4
91714,\N,\N,1
91722,\N,\N,5
91724,\N,\N,5
91725,\N,\N,5
91733,\N,\N,5
91741,\N,\N,3
91743,\N,\N,3.8571
91746,\N,\N,3
91751,\N,\N,5
91758,\N,\N,1
91759,\N,\N,5
91761,\N,\N,5
91764,\N,\N,\N
91765,\N,\N,3.8571
91769,\N,\N,5
91771,\N,\N,4.5
91774,\N,\N,5
91783,\N,\N,5
91784,\N,\N,4.5
91785,"LAS VEGAS, NV ",\N,3.8
91789,\N,\N,4
91792,\N,\N,3.5
91795,\N,\N,\N
91806,"Dallas, Texas",\N,4
91812,\N,\N,4.5
91817,\N,\N,4
91818,\N,\N,1
91821,\N,\N,4
91827,\N,\N,5
91828,\N,\N,4.5
91836,\N,\N,4
91837,\N,\N,4.3333
91843,\N,\N,3.25
91845,\N,\N,2
91848,Beckley WV,\N,4
91851,\N,\N,5
91856,\N,\N,2.25
91857,\N,\N,4.3571
91861,"Bronx,n.y.",\N,1
91864,\N,\N,5
91868,\N,\N,5
91873,\N,\N,5
91878,\N,\N,4
91879,\N,\N,4
91882,\N,\N,4
91885,\N,\N,\N
91886,"Mountain View, CA",\N,4.6667
91903,\N,\N,3.6667
91905,\N,\N,3.5
91906,"Portland, Oregon",\N,4.5
91908,\N,\N,\N
91909,\N,\N,4
91910,\N,\N,5
91914,\N,\N,3.6667
91916,\N,\N,4
91928,\N,\N,1
91931,\N,\N,4
91939,\N,\N,4.6667
91948,\N,\N,5
91950,\N,\N,5
91952,\N,\N,4
91956,\N,\N,2.6667
91957,\N,\N,1
91958,\N,\N,4
91966,\N,\N,3
91969,\N,\N,4
91970,\N,\N,4
91985,NY,\N,3.8125
91988,\N,\N,1
91996,\N,\N,4
91999,\N,\N,5
92002,\N,\N,5
92004,\N,\N,4
92005,\N,\N,1
92007,\N,\N,1
92009,"oakdale, ca",\N,4.1667
92013,\N,\N,\N
92015,\N,\N,4.0909
92029,\N,\N,3.6
92042,\N,\N,3
92043,\N,\N,5
92054,\N,\N,1.3333
92059,\N,\N,5
92066,\N,\N,4
92070,\N,\N,4.3125
92071,\N,\N,2.75
92072,\N,\N,5
92073,\N,\N,1
92074,\N,\N,5
92080,\N,\N,5
92094,\N,\N,1
92097,\N,\N,5
92103,\N,\N,3
92104,\N,\N,5
92106,\N,\N,5
92109,\N,\N,\N
92112,\N,\N,4.6667
92113,\N,\N,1
92122,\N,\N,3.5
92124,"Greensburg, PA",\N,4.3333
92132,\N,\N,4.3
92144,\N,\N,2
92150,\N,\N,4
92151,\N,\N,4.5
92152,\N,\N,5
92155,\N,\N,5
92157,\N,\N,2
92158,\N,\N,5
92164,\N,\N,4
92165,\N,\N,4
92166,\N,\N,3.5
92169,New York - New Jersey,\N,4.25
92171,\N,\N,\N
92174,\N,\N,5
92176,\N,\N,4
92177,\N,\N,3.3333
92178,\N,\N,5
92192,\N,\N,5
92193,\N,\N,4.5
92197,\N,\N,4.5
92203,\N,\N,5
92208,\N,\N,4
92210,\N,\N,4
92213,\N,\N,4
92233,\N,\N,4
92240,\N,\N,4
92241,\N,\N,5
92247,\N,\N,5
92256,\N,\N,3.9231
92257,\N,\N,5
92258,\N,\N,3.2
92262,\N,\N,2
92264,\N,\N,1
92268,"Edmonton, Alberta, Canada",\N,4.5
92269,\N,\N,\N
92274,\N,\N,5
92276,\N,\N,3.6667
92277,\N,\N,3.75
92281,\N,\N,4
92290,"Sacramento, CA",\N,4.75
92294,\N,\N,1
92298,\N,\N,3
92305,\N,\N,3.5
92310,\N,\N,5
92317,\N,\N,3
92319,\N,\N,\N
92337,\N,\N,5
92339,\N,\N,4
92340,\N,\N,4
92341,\N,\N,1
92346,\N,\N,5
92349,\N,\N,\N
92351,\N,\N,5
92353,\N,\N,4.5
92354,\N,\N,5
92362,\N,\N,5
92365,\N,\N,5
92375,\N,\N,5
92379,\N,\N,3
92380,\N,\N,5
92394,\N,\N,4
92398,\N,\N,5
92399,\N,\N,5
92403,\N,\N,3
92413,\N,\N,4
92418,\N,\N,1.5
92422,\N,\N,1
92423,\N,\N,4.3333
92431,\N,\N,1
92433,\N,\N,4.4
92437,Pennsylvania,\N,2
92440,\N,\N,3.5
92444,\N,\N,5
92445,\N,\N,5
92450,\N,\N,4
92451,\N,\N,4
92454,los angeles california,\N,5
92459,\N,\N,4
92464,\N,\N,5
92465,\N,\N,4
92466,\N,\N,2
92471,san francisco,\N,3.3333
92474,\N,\N,5
92475,\N,\N,5
92476,\N,\N,4.2857
92477,\N,\N,\N
92478,\N,\N,\N
92482,\N,\N,4.5
92488,\N,\N,4
92492,\N,\N,3
92495,\N,\N,4
92496,\N,\N,3
92497,\N,\N,1
92500,\N,\N,5
92518,"Detroit, Michigan",\N,5
92524,\N,\N,\N
92534,\N,\N,5
92537,\N,\N,\N
92542,"New  York, NY",\N,3.8571
92546,\N,\N,4.3333
92551,"Brooklyn, NY",\N,5
92556,\N,\N,1
92561,\N,\N,2
92563,\N,\N,\N
92567,\N,\N,4
92574,\N,\N,1
92576,\N,\N,4.3333
92582,\N,\N,3
92583,\N,\N,5
92588,\N,\N,5
92589,\N,\N,1
92593,\N,\N,5
92597,\N,\N,4
92598,\N,\N,5
92602,\N,\N,4
92607,\N,\N,4
92612,\N,\N,2
92613,\N,\N,4
92615,\N,\N,4.5
92618,\N,\N,4.25
92628,\N,\N,5
92630,\N,\N,5
92636,\N,\N,5
92637,"Matawan, NJ",\N,2.75
92638,\N,\N,5
92646,\N,\N,5
92654,\N,\N,4.5
92664,\N,\N,\N
92679,\N,\N,2
92687,\N,\N,4
92688,\N,\N,5
92690,\N,\N,5
92691,\N,\N,5
92696,\N,\N,3
92701,\N,\N,4.1429
92704,\N,\N,2
92706,\N,\N,5
92712,\N,\N,4.25
92715,\N,\N,1
92716,\N,\N,1
92717,\N,\N,3
92721,\N,\N,1
92731,\N,\N,3
92732,\N,\N,5
92736,\N,\N,5
92745,\N,\N,4.6667
92748,\N,\N,4
92750,\N,\N,2
92761,\N,\N,4
92768,\N,\N,1
92771,\N,\N,3
92772,\N,\N,5
92773,\N,\N,1
92777,\N,\N,4
92778,\N,\N,1
92780,\N,\N,1
92783,\N,\N,5
92785,\N,\N,2
92786,\N,\N,4
92790,\N,\N,2
92791,\N,\N,5
92792,\N,\N,4.75
92796,\N,\N,4
92797,\N,\N,4.5
92807,\N,\N,1
92814,\N,\N,5
92815,\N,\N,3.8421
92816,\N,\N,1
92822,\N,\N,5
92836,\N,\N,3
92839,\N,\N,2
92852,\N,\N,1
92857,\N,\N,5
92861,\N,\N,3.3077
92871,\N,\N,1
92872,\N,\N,3.5
92877,\N,\N,\N
92878,\N,\N,5
92881,\N,\N,1
92885,\N,\N,1
92886,\N,\N,3
92893,\N,\N,5
92899,\N,\N,2.7143
92902,\N,\N,2
92907,\N,\N,5
92909,\N,\N,2
92916,\N,\N,4.6667
92921,"south plainfield, new jersey",\N,4
92926,\N,\N,3.8
92928,\N,\N,5
92929,\N,\N,3
92933,\N,\N,5
92936,\N,\N,3.6667
92942,"New York City, USA",\N,3.7
92946,\N,\N,5
92947,\N,\N,5
92953,\N,\N,4
92957,\N,\N,5
92958,\N,\N,\N
92965,\N,\N,1
92971,\N,\N,\N
92975,\N,\N,5
92979,\N,\N,5
92981,\N,\N,\N
92984,\N,\N,2
92986,\N,\N,5
92991,\N,\N,1
92997,\N,\N,5
92998,\N,\N,1
92999,\N,\N,5
93001,\N,\N,1
93002,\N,\N,5
93007,\N,\N,5
93013,\N,\N,5
93014,\N,\N,4
93016,USA,\N,4.25
93019,\N,\N,5
93020,\N,\N,5
93022,"Long Island , New York",\N,4.8333
93027,\N,\N,5
93028,\N,\N,1
93032,############,\N,\N
93035,\N,\N,4
93038,\N,\N,2.5
93039,\N,\N,3
93041,\N,\N,1
93042,\N,\N,5
93047,\N,\N,5
93050,\N,\N,5
93055,\N,\N,1
93059,\N,\N,3
93072,\N,\N,2
93074,\N,\N,3
93075,\N,\N,5
93080,\N,\N,5
93082,\N,\N,3.6667
93093,\N,\N,3
93095,\N,\N,5
93097,\N,\N,4
93100,\N,\N,5
93107,\N,\N,4
93108,\N,\N,4
93113,\N,\N,1
93117,\N,\N,1
93125,\N,\N,\N
93127,\N,\N,3
93130,\N,\N,3.4444
93131,\N,\N,4
93134,\N,\N,4
93135,\N,\N,5
93139,\N,\N,1
93145,\N,\N,1
93149,\N,\N,3.5
93156,\N,\N,1
93158,\N,\N,4.25
93161,\N,\N,4.5
93164,\N,\N,1
93167,\N,\N,3
93173,\N,\N,1
93180,\N,\N,4
93181,\N,\N,\N
93182,\N,\N,5
93187,\N,\N,3
93192,\N,\N,5
93196,\N,\N,4
93200,\N,\N,3.6667
93203,\N,\N,3.5
93209,\N,\N,4.25
93211,\N,\N,5
93212,\N,\N,1
93214,\N,\N,5
93222,\N,\N,1
93223,\N,\N,3.0435
93224,\N,\N,4
93225,"Corpus Christi, TX",\N,4.4286
93227,\N,\N,3
93228,\N,\N,3
93232,\N,\N,5
93234,\N,\N,2
93242,\N,\N,4
93253,\N,\N,2
93254,\N,\N,4
93257,\N,\N,4
93269,\N,\N,3.75
93282,\N,\N,5
93283,\N,\N,2
93285,\N,\N,2.5
93286,\N,\N,4
93289,\N,\N,4
93293,"COSTA MESA, California, USA",\N,\N
93299,\N,\N,5
93302,\N,\N,5
93305,\N,\N,3
93306,\N,\N,4
93307,\N,\N,3.8
93318,\N,\N,3
93326,"cheshire,ct",\N,4.4667
93328,\N,\N,2
93335,\N,\N,5
93339,\N,\N,5
93341,\N,\N,1
93342,\N,\N,4
93346,\N,\N,3
93356,\N,\N,4
93359,\N,\N,2.75
93360,\N,\N,3
93361,\N,\N,\N
93362,\N,\N,5
93367,\N,\N,3
93370,\N,\N,3
93373,\N,\N,5
93374,St. Louis,\N,4
93376,\N,\N,4
93381,\N,\N,3.7273
93382,\N,\N,3
93384,\N,\N,1
93386,\N,\N,5
93391,\N,\N,2
93400,\N,\N,4.6667
93402,\N,\N,4.75
93406,\N,\N,3.6667
93409,\N,\N,5
93417,"Middletown, CT",\N,3
93419,\N,\N,4.4
93424,\N,\N,5
93427,\N,\N,4
93430,\N,\N,3
93435,\N,\N,1
93442,\N,\N,4.625
93444,\N,\N,1
93445,\N,\N,4.5
93446,\N,\N,5
93449,\N,\N,1
93450,\N,\N,5
93453,\N,\N,5
93454,\N,\N,5
93459,\N,\N,5
93467,\N,\N,2
93471,\N,\N,\N
93472,\N,\N,5
93485,"St. Louis, Missouri",\N,4.3333
93486,\N,\N,2
93490,\N,\N,1
93493,\N,\N,2
93498,\N,\N,1
93499,\N,\N,5
93503,\N,\N,5
93505,\N,\N,\N
93508,\N,\N,1
93514,\N,\N,5
93521,\N,\N,1
93527,\N,\N,5
93530,\N,\N,5
93543,\N,\N,1
93552,\N,\N,5
93562,\N,\N,2
93566,\N,\N,5
93570,"marion, ohio",\N,4.5
93572,"Berkeley, California",\N,5
93580,\N,\N,4
93583,"GERMANTOWN, OHIO, USA",\N,3.25
93587,\N,\N,1
93595,\N,\N,\N
93600,\N,\N,5
93607,\N,\N,1
93609,\N,\N,1
93620,\N,\N,5
93621,Minnesota,\N,1
93623,\N,\N,2
93627,\N,\N,\N
93629,\N,\N,5
93632,\N,\N,5
93633,\N,\N,4.75
93635,\N,\N,2
93636,\N,\N,5
93651,\N,\N,5
93652,\N,\N,1
93656,\N,\N,1
93665,\N,\N,4
93666,\N,\N,4
93669,\N,\N,5
93670,\N,\N,1
93671,\N,\N,1
93675,\N,\N,5
93677,\N,\N,5
93680,\N,\N,3.4444
93687,\N,\N,1
93691,\N,\N,2
93694,\N,\N,1
93698,\N,\N,5
93708,\N,\N,5
93710,\N,\N,1
93711,\N,\N,5
93713,Everett Washington U.S.A.,\N,5
93716,\N,\N,4
93720,\N,\N,3.5
93724,\N,\N,5
93733,Minnesota,\N,4.5
93736,\N,\N,1
93743,\N,\N,1
93744,\N,\N,1
93745,\N,\N,5
93747,"Garland, Texas",\N,2
93748,"Le mans, France",\N,4.5
93749,\N,\N,4
93751,\N,\N,5
93753,\N,\N,4
93759,\N,\N,1
93762,\N,\N,4.6667
93763,\N,\N,5
93765,\N,\N,1
93775,\N,\N,1
93776,"Minneapolis, MN",\N,4.0833
93791,\N,\N,\N
93795,\N,\N,5
93796,\N,\N,3
93798,\N,\N,5
93800,\N,\N,5
93802,\N,\N,5
93804,\N,\N,4.4
93805,\N,\N,5
93807,\N,\N,1
93816,\N,\N,5
93818,\N,\N,5
93821,\N,\N,5
93826,\N,\N,2
93828,\N,\N,4
93829,\N,\N,1
93831,\N,\N,4.5
93834,\N,\N,3
93836,\N,\N,2
93839,\N,\N,5
93841,\N,\N,5
93845,\N,\N,5
93847,MaxMeadows Va,\N,4
93856,\N,\N,\N
93860,\N,\N,1
93862,\N,\N,5
93863,\N,\N,4
93867,\N,\N,4.5
93869,\N,\N,\N
93870,\N,\N,1
93873,\N,\N,3
93875,\N,\N,5
93877,\N,\N,3
93879,\N,\N,3.6
93880,"Albion,PA",\N,3.6667
93882,\N,\N,5
93883,\N,\N,3.5
93887,\N,\N,5
93888,\N,\N,5
93891,\N,\N,4.3333
93902,\N,\N,2
93906,\N,\N,5
93919,\N,\N,4
93924,\N,\N,4
93925,\N,\N,5
93928,\N,\N,4.5
93929,\N,\N,5
93931,\N,\N,4.375
93937,\N,\N,1
93940,"Las Vegas, NV, USA",\N,3
93941,\N,\N,3
93942,\N,\N,5
93943,"Independence, Mo.",\N,2.8
93951,\N,\N,5
93953,\N,\N,3
93955,\N,\N,1
93956,\N,\N,2.5
93958,\N,\N,5
93960,\N,\N,1
93963,\N,\N,5
93964,\N,\N,4
93965,California,\N,3.3333
93966,\N,\N,5
